"word","word_acc","stress_pattern","closure_pattern","closure","pos","feats","ending_st"
"врезал","вре'зал","10","10","fem","V","V,пе=(прош,ед,изъяв,муж,несов|прош,ед,изъяв,муж,сов)","е'зал"
"водимый","води'мый","010","10","fem","V","V,несов,пе=(непрош,вин,ед,прич,полн,муж,страд,неод|непрош,им,ед,прич,полн,муж,страд)","и'мый"
"отзывом","о'тзывом","100","100","dactylic","S","S,муж,неод=твор,ед","о'тзывом"
"питало","пита'ло","010","10","fem","V","V,несов,пе=прош,ед,изъяв,сред","а'ло"
"дорожат","дорожа'т","001","1","masc","V","V,несов,нп=непрош,мн,изъяв,3-л","а'т"
"неизменно","неизме'нно","0010","10","fem","ADV","ADV=","е'нно"
"баранов","бара'нов","010","10","fem","S","S,фам,муж,од=им,ед","а'нов"
"влезть","вле'зть","1","1","masc","V","V,нп=инф,сов","е'зть"
"догадка","дога'дка","010","10","fem","S","S,жен,неод=им,ед","а'дка"
"погоди","погоди'","001","1","masc","V","V,сов,нп=ед,пов,2-л","ди'"
"умудримся","умудри'мся","0010","10","fem","V","V,нп=(мн,пов,1-л,сов|непрош,мн,изъяв,1-л,сов)","и'мся"
"принялся","при'нялся","100","100","dactylic","V","V,нп=прош,ед,изъяв,муж,сов","и'нялся"
"съесть","съе'сть","1","1","masc","V","V=инф,сов","е'сть"
"поживиться","поживи'ться","0010","10","fem","V","V,сов,нп=инф","и'ться"
"губки","гу'бки","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","у'бки"
"помогали","помога'ли","0010","10","fem","V","V,нп=прош,мн,изъяв,несов","а'ли"
"газель","газе'ль","01","1","masc","S","S,жен,неод=(вин,ед|им,ед)","е'ль"
"былой","было'й","01","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"радости","ра'дости","100","100","dactylic","S","S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)","а'дости"
"обнимут","обни'мут","010","10","fem","V","V,пе=непрош,мн,изъяв,3-л,сов","и'мут"
"рукоплесканья","рукоплеска'нья","00010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","а'нья"
"одой","о'дой","10","10","fem","S","S,жен,неод=твор,ед","о'дой"
"исподтишка","исподтишка'","0001","1","masc","ADV","ADV=","ка'"
"поспешали","поспеша'ли","0010","10","fem","V","V,несов,нп=прош,мн,изъяв","а'ли"
"вспоминали","вспомина'ли","0010","10","fem","V","V,несов,пе=прош,мн,изъяв","а'ли"
"омира","оми'ра","010","10","fem","S","S,муж,неод=род,ед","и'ра"
"кафтаны","кафта'ны","010","10","fem","S","S,муж,неод=(вин,мн|им,мн)","а'ны"
"голик","голи'к","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","и'к"
"колотит","коло'тит","010","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","о'тит"
"неопрятен","неопря'тен","0010","10","fem","A","A=ед,кр,муж","я'тен"
"вплетется","вплетё'тся","010","10","fem","V","V,нп=непрош,ед,изъяв,3-л,сов","ё'тся"
"лишены","лишены'","001","1","masc","V","V,пе=прош,мн,прич,кр,сов,страд","ны'"
"предмет","предме'т","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","е'т"
"те","те'","1","1","masc","APRO","APRO=(им,мн|вин,мн,неод)","те'"
"видали","вида'ли","010","10","fem","V","V,несов,пе=прош,мн,изъяв","а'ли"
"сойтись","сойти'сь","01","1","masc","V","V,нп=инф,сов","и'сь"
"одних","одни'х","01","1","masc","APRO","APRO=(пр,мн|род,мн|вин,мн,од)","и'х"
"погасила","погаси'ла","0010","10","fem","V","V,сов,пе=прош,ед,изъяв,жен","и'ла"
"кличь","кли'чь","1","1","masc","V","V,несов,пе=ед,пов,2-л","и'чь"
"своду","сво'ду","10","10","fem","S","S,муж,неод=дат,ед","о'ду"
"стремились","стреми'лись","010","10","fem","V","V,несов,нп=прош,мн,изъяв","и'лись"
"святы","свя'ты","10","10","fem","A","A=мн,кр","я'ты"
"урода","уро'да","010","10","fem","S","S,муж,од=(вин,ед|род,ед)","о'да"
"хил","хи'л","1","1","masc","A","A=ед,кр,муж","и'л"
"зверях","зверя'х","01","1","masc","S","S,муж,од=пр,мн","я'х"
"долгами","долга'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"пустоте","пустоте'","001","1","masc","S","S,жен,неод=(пр,ед|дат,ед)","те'"
"зиждитель","зижди'тель","010","10","fem","S","S,муж,од=им,ед","и'тель"
"создана","со'здана","100","100","dactylic","V","V,пе=прош,ед,прич,кр,жен,сов,страд","о'здана"
"напор","напо'р","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'р"
"помчались","помча'лись","010","10","fem","V","V,сов,нп=прош,мн,изъяв","а'лись"
"ревут","реву'т","01","1","masc","V","V,несов,нп=непрош,мн,изъяв,3-л","у'т"
"ручью","ручью'","01","1","masc","S","S,муж,неод=дат,ед","ью'"
"зеленеют","зелене'ют","0010","10","fem","V","V,несов,нп=непрош,мн,изъяв,3-л","е'ют"
"стадам","стада'м","01","1","masc","S","S,сред,неод=дат,мн","а'м"
"утесам","утё'сам","010","10","fem","S","S,муж,неод=дат,мн","ё'сам"
"почиют","почи'ют","010","10","fem","V","V,нп=(непрош,мн,изъяв,3-л,несов|непрош,мн,изъяв,3-л,сов)","и'ют"
"гневом","гне'вом","10","10","fem","S","S,муж,неод=твор,ед","е'вом"
"истощен","истощё'н","001","1","masc","A","A=ед,кр,муж","ё'н"
"всходит","всхо'дит","10","10","fem","V","V,нп=непрош,ед,изъяв,3-л,несов","о'дит"
"синевой","синево'й","001","1","masc","S","S,жен,неод=твор,ед","о'й"
"безнадежный","безнадё'жный","0010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","ё'жный"
"крушимый","круши'мый","010","10","fem","V","V,несов,пе=(непрош,вин,ед,прич,полн,муж,страд,неод|непрош,им,ед,прич,полн,муж,страд)","и'мый"
"тужил","тужи'л","01","1","masc","V","V,несов,нп=прош,ед,изъяв,муж","и'л"
"постичь","пости'чь","01","1","masc","V","V=инф,сов","и'чь"
"зачем","заче'м","01","1","masc","ADVPRO","ADVPRO=","е'м"
"тише","ти'ше","10","10","fem","ADV","ADV=срав","и'ше"
"кипучих","кипу'чих","010","10","fem","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","у'чих"
"удались","удали'сь","001","1","masc","V","V,нп=прош,мн,изъяв,сов","и'сь"
"тленье","тле'нье","10","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"цветущий","цвету'щий","010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","у'щий"
"твореньем","творе'ньем","010","10","fem","S","S,сред,неод=твор,ед","е'ньем"
"лия","лия'","01","1","masc","S","S,имя,жен,од=им,ед","ия'"
"восстающий","восстаю'щий","0010","10","fem","V","V,нп=(непрош,вин,ед,прич,полн,муж,несов,действ,неод|непрош,им,ед,прич,полн,муж,несов,действ)","ю'щий"
"растенью","расте'нью","010","10","fem","S","S,сред,неод=дат,ед","е'нью"
"принужденье","принужде'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"попался","попа'лся","010","10","fem","V","V,нп=прош,ед,изъяв,муж,сов","а'лся"
"нахожусь","нахожу'сь","001","1","masc","V","V,нп=непрош,ед,изъяв,1-л,несов","у'сь"
"исцелить","исцели'ть","001","1","masc","V","V,пе=инф,сов","и'ть"
"схоронили","схорони'ли","0010","10","fem","V","V,сов,пе=прош,мн,изъяв","и'ли"
"повилик","повили'к","001","1","masc","S","S,жен,неод=род,мн","и'к"
"дружней","дружне'й","01","1","masc","A","A=срав","е'й"
"мишурой","мишуро'й","001","1","masc","S","S,ед,жен,неод=твор","о'й"
"желанный","жела'нный","010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","а'нный"
"мужай","мужа'й","01","1","masc","V","V,несов,нп=ед,пов,2-л","а'й"
"достанем","доста'нем","010","10","fem","V","V,пе=(мн,пов,1-л,сов|непрош,мн,изъяв,1-л,сов)","а'нем"
"ночные","ночны'е","010","10","fem","A","A=(вин,мн,полн,неод|им,мн,полн)","ы'е"
"утёс","утё'с","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","ё'с"
"раздавить","раздави'ть","001","1","masc","V","V,пе=инф,сов","и'ть"
"величаво","велича'во","0010","10","fem","ADV","ADV=","а'во"
"длинный","дли'нный","10","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","и'нный"
"избушка","избу'шка","010","10","fem","S","S,жен,неод=им,ед","у'шка"
"слышу","слы'шу","10","10","fem","V","V,несов,пе=непрош,ед,изъяв,1-л","ы'шу"
"затих","зати'х","01","1","masc","V","V,нп=прош,ед,изъяв,муж,сов","и'х"
"окне","окне'","01","1","masc","S","S,сред,неод=пр,ед","не'"
"растворил","раствори'л","001","1","masc","V","V,пе=прош,ед,изъяв,муж,сов","и'л"
"место","ме'сто","10","10","fem","S","S,сред,неод=(вин,ед|им,ед)","е'сто"
"камышами","камыша'ми","0010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"утрачу","утра'чу","010","10","fem","V","V,пе=непрош,ед,изъяв,1-л,сов","а'чу"
"несли","несли'","01","1","masc","V","V,несов,пе=прош,мн,изъяв","ли'"
"блиставших","блиста'вших","010","10","fem","V","V,несов,нп=(прош,пр,мн,прич,полн,действ|прош,род,мн,прич,полн,действ|прош,вин,мн,прич,полн,действ,од)","а'вших"
"кипели","кипе'ли","010","10","fem","V","V,несов,нп=прош,мн,изъяв","е'ли"
"здоровье","здоро'вье","010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","о'вье"
"киприда","кипри'да","010","10","fem","S","S,фам,муж,од=(вин,ед|род,ед)","и'да"
"новоселья","новосе'лья","0010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","е'лья"
"славить","сла'вить","10","10","fem","V","V,несов,пе=инф","а'вить"
"зевеса","зеве'са","010","10","fem","S","S,муж,од=(вин,ед|род,ед)","е'са"
"возгремит","возгреми'т","001","1","masc","V","V,сов,нп=непрош,ед,изъяв,3-л","и'т"
"стар","ста'р","1","1","masc","A","A=ед,кр,муж","а'р"
"надоела","надое'ла","0010","10","fem","V","V,нп=прош,ед,изъяв,жен,сов","е'ла"
"косматых","косма'тых","010","10","fem","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","а'тых"
"пособрать","пособра'ть","001","1","masc","V","V=инф,сов","а'ть"
"лани","ла'ни","10","10","fem","S","S,жен,од=(пр,ед|дат,ед|род,ед|им,мн)","а'ни"
"убудет","убу'дет","010","10","fem","V","V,нп=непрош,ед,изъяв,3-л,сов","у'дет"
"волоском","волоско'м","001","1","masc","S","S,муж,неод=твор,ед","о'м"
"случился","случи'лся","010","10","fem","V","V,нп=прош,ед,изъяв,муж,сов","и'лся"
"вдовы","вдовы'","01","1","masc","S","S,жен,од=(род,ед|им,мн)","вы'"
"перста","перста'","01","1","masc","S","S,муж,неод=род,ед","та'"
"залаяли","зала'яли","0100","100","dactylic","V","V,сов,нп=прош,мн,изъяв","а'яли"
"лестнице","ле'стнице","100","100","dactylic","S","S,жен,неод=(пр,ед|дат,ед)","е'стнице"
"валит","ва'лит","10","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","а'лит"
"венчаться","венча'ться","010","10","fem","V","V,нп=(инф,несов|инф,сов)","а'ться"
"невзгодой","невзго'дой","010","10","fem","S","S,жен,неод=твор,ед","о'дой"
"поезд","по'езд","10","10","fem","S","S,муж,неод=(вин,ед|им,ед)","о'езд"
"благодарным","благода'рным","0010","10","fem","A","A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)","а'рным"
"затмись","затми'сь","01","1","masc","V","V,нп=ед,пов,2-л,сов","и'сь"
"заиру","заи'ру","010","10","fem","S","S,имя,жен,од=вин,ед","и'ру"
"вручая","вруча'я","010","10","fem","V","V,пе=непрош,деепр,несов","а'я"
"талисман","талисма'н","001","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'н"
"пробуди","пробуди'","001","1","masc","V","V=ед,пов,2-л,сов","ди'"
"заира","заи'ра","010","10","fem","S","S,имя,жен,од=им,ед","и'ра"
"дается","даё'тся","010","10","fem","V","V,нп=непрош,ед,изъяв,3-л,несов","ё'тся"
"утроб","утро'б","01","1","masc","S","S,жен,неод=род,мн","о'б"
"сзывного","сзывно'го","010","10","fem","A","A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)","о'го"
"сановит","санови'т","001","1","masc","A","A=ед,кр,муж","и'т"
"шаловлива","шаловли'ва","0010","10","fem","A","A=ед,кр,жен","и'ва"
"красть","кра'сть","1","1","masc","V","V,несов=инф,пе","а'сть"
"достанет","доста'нет","010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,сов","а'нет"
"бился","би'лся","10","10","fem","V","V,несов,нп=прош,ед,изъяв,муж","и'лся"
"приучаешь","приуча'ешь","0010","10","fem","V","V,пе=непрош,ед,изъяв,2-л,несов","а'ешь"
"испытала","испыта'ла","0010","10","fem","V","V,пе=прош,ед,изъяв,жен,сов","а'ла"
"являя","явля'я","010","10","fem","V","V,пе=непрош,деепр,несов","я'я"
"отложить","отложи'ть","001","1","masc","V","V,пе=инф,сов","и'ть"
"ляжем","ля'жем","10","10","fem","V","V,нп=(мн,пов,1-л,сов|непрош,мн,изъяв,1-л,сов)","я'жем"
"теряем","теря'ем","010","10","fem","V","V,несов,пе=(непрош,мн,изъяв,1-л|непрош,ед,прич,кр,муж,страд)","я'ем"
"повинность","пови'нность","010","10","fem","S","S,жен,неод=(вин,ед|им,ед)","и'нность"
"тать","та'ть","1","1","masc","S","S,муж,од=им,ед","а'ть"
"балете","бале'те","010","10","fem","S","S,муж,неод=пр,ед","е'те"
"возвращаться","возвраща'ться","0010","10","fem","V","V,нп=инф,несов","а'ться"
"совершили","соверши'ли","0010","10","fem","V","V,пе=прош,мн,изъяв,сов","и'ли"
"соскребла","соскребла'","001","1","masc","V","V,пе=прош,ед,изъяв,жен,сов","ла'"
"разрушаем","разруша'ем","0010","10","fem","V","V,пе=(непрош,мн,изъяв,1-л,несов|непрош,ед,прич,кр,муж,несов,страд)","а'ем"
"обломков","обло'мков","010","10","fem","S","S,муж,неод=род,мн","о'мков"
"защитить","защити'ть","001","1","masc","V","V,пе=инф,сов","и'ть"
"десницу","десни'цу","010","10","fem","S","S,жен,неод=вин,ед","и'цу"
"клеветы","клеветы'","001","1","masc","S","S,жен,неод=(вин,мн|род,ед|им,мн)","ты'"
"взялись","взяли'сь","01","1","masc","V","V,сов,нп=прош,мн,изъяв","и'сь"
"ходу","хо'ду","10","10","fem","S","S,муж,неод=(дат,ед|парт,ед|местн,ед)","о'ду"
"терять","теря'ть","01","1","masc","V","V,несов,пе=инф","я'ть"
"смутись","смути'сь","01","1","masc","V","V,нп=ед,пов,2-л,сов","и'сь"
"людьми","людьми'","01","1","masc","S","S,муж,од=твор,мн","ми'"
"миновав","минова'в","001","1","masc","V","V,пе=(прош,деепр,несов|прош,деепр,сов)","а'в"
"уменьшить","уме'ньшить","010","10","fem","V","V,пе=инф,сов","е'ньшить"
"полюбив","полюби'в","001","1","masc","V","V,сов,пе=прош,деепр","и'в"
"звеном","звено'м","01","1","masc","S","S,сред,неод=твор,ед","о'м"
"облечены","облечены'","0001","1","masc","V","V=прош,мн,прич,кр,сов,страд","ны'"
"семьей","семьё'й","01","1","masc","S","S,жен,неод=твор,ед","ё'й"
"познавать","познава'ть","001","1","masc","V","V,пе=инф,несов","а'ть"
"эгоизм","эгои'зм","001","1","masc","S","S,муж,неод=(вин,ед|им,ед)","и'зм"
"наук","нау'к","01","1","masc","S","S,жен,неод=род,мн","у'к"
"ходить","ходи'ть","01","1","masc","V","V,несов,нп=инф","и'ть"
"подчинить","подчини'ть","001","1","masc","V","V,пе=инф,сов","и'ть"
"грядет","грядё'т","01","1","masc","V","V,несов,нп=непрош,ед,изъяв,3-л","ё'т"
"укорит","укори'т","001","1","masc","V","V,пе=непрош,ед,изъяв,3-л,сов","и'т"
"годах","года'х","01","1","masc","S","S,муж,неод=пр,мн","а'х"
"временным","вре'менным","100","100","dactylic","A","A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)","е'менным"
"тем","те'м","1","1","masc","SPRO","SPRO,ед,сред,неод=твор","е'м"
"подпути","подпути'","001","1","masc","S","S,ед,муж,неод=(пр|дат|род)","ти'"
"испытать","испыта'ть","001","1","masc","V","V,пе=инф,сов","а'ть"
"покидай","покида'й","001","1","masc","V","V,пе=ед,пов,2-л,несов","а'й"
"счастлив","сча'стлив","10","10","fem","A","A=ед,кр,муж","а'стлив"
"нашел","нашё'л","01","1","masc","V","V=прош,ед,изъяв,муж,сов,пе","ё'л"
"придать","прида'ть","01","1","masc","V","V,пе=инф,сов","а'ть"
"топор","топо'р","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'р"
"другу","дру'гу","10","10","fem","S","S,муж,од=дат,ед","у'гу"
"печет","печё'т","01","1","masc","V","V,несов,пе=непрош,ед,изъяв,3-л","ё'т"
"возрастало","возраста'ло","0010","10","fem","V","V,нп=прош,ед,изъяв,сред,несов","а'ло"
"могли","могли'","01","1","masc","V","V,несов,нп=прош,мн,изъяв","ли'"
"укрепилось","укрепи'лось","0010","10","fem","V","V,нп=прош,ед,изъяв,сред,сов","и'лось"
"буграми","бугра'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"лощин","лощи'н","01","1","masc","S","S,жен,неод=род,мн","и'н"
"походил","походи'л","001","1","masc","V","V,нп=(прош,ед,изъяв,муж,несов|прош,ед,изъяв,муж,сов)","и'л"
"подивиться","подиви'ться","0010","10","fem","V","V,сов,нп=инф","и'ться"
"дунай","ду'най","10","10","fem","S","S,гео,муж,неод=(вин,ед|им,ед)","у'най"
"ударам","уда'рам","010","10","fem","S","S,муж,неод=дат,мн","а'рам"
"возмутили","возмути'ли","0010","10","fem","V","V,пе=прош,мн,изъяв,сов","и'ли"
"утонченье","утонче'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"острят","остря'т","01","1","masc","V","V,несов,пе=непрош,мн,изъяв,3-л","я'т"
"сухой","сухо'й","01","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"торговых","торго'вых","010","10","fem","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","о'вых"
"вестовщиц","вестовщи'ц","001","1","masc","S","S,жен,од=(вин,мн|род,мн)","и'ц"
"заклад","закла'д","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'д"
"согретых","согре'тых","010","10","fem","V","V,пе=(прош,пр,мн,прич,полн,сов,страд|прош,вин,мн,прич,полн,сов,страд,од|прош,род,мн,прич,полн,сов,страд)","е'тых"
"освещает","освеща'ет","0010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,несов","а'ет"
"насаждена","насаждена'","0001","1","masc","V","V=прош,ед,прич,кр,жен,сов,страд,пе","на'"
"друзьях","друзья'х","01","1","masc","S","S,муж,од=пр,мн","я'х"
"посетит","посети'т","001","1","masc","V","V,пе=непрош,ед,изъяв,3-л,сов","и'т"
"подашь","пода'шь","01","1","masc","V","V,пе=непрош,ед,изъяв,2-л,сов","а'шь"
"светящим","светя'щим","010","10","fem","V","V,несов,нп=(непрош,дат,мн,прич,полн,действ|непрош,твор,ед,прич,полн,муж,действ|непрош,твор,ед,прич,полн,сред,действ)","я'щим"
"прояснитель","проясни'тель","0010","10","fem","S","S,муж,од=им,ед","и'тель"
"облегченье","облегче'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"разлучишься","разлучи'шься","0010","10","fem","V","V,нп=непрош,ед,изъяв,2-л,сов","и'шься"
"обращаю","обраща'ю","0010","10","fem","V","V,пе=непрош,ед,изъяв,1-л,несов","а'ю"
"снегами","снега'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"отставать","отстава'ть","001","1","masc","V","V,нп=инф,несов","а'ть"
"ужаснулся","ужасну'лся","0010","10","fem","V","V,нп=прош,ед,изъяв,муж,сов","у'лся"
"господу","го'споду","100","100","dactylic","S","S,ед,муж,од=дат","о'споду"
"выростешь","вы'ростешь","100","100","dactylic","V","V,несов,пе=ед,пов,2-л","ы'ростешь"
"ручками","ру'чками","100","10","fem","S","S,жен,неод=твор,мн","а'ми"
"бедная","бе'дная","100","100","dactylic","A","A=им,ед,полн,жен","е'дная"
"владычица","влады'чица","0100","100","dactylic","S","S,жен,од=им,ед","ы'чица"
"расцветал","расцвета'л","001","1","masc","V","V,нп=прош,ед,изъяв,муж,несов","а'л"
"осужденных","осуждё'нных","0010","10","fem","S","S,муж,од=(пр,мн|вин,мн|род,мн)","ё'нных"
"несметный","несме'тный","010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","е'тный"
"покрытый","покры'тый","010","10","fem","V","V=(прош,вин,ед,прич,полн,муж,сов,страд,неод|прош,им,ед,прич,полн,муж,сов,страд)","ы'тый"
"раздробила","раздроби'ла","0010","10","fem","V","V,пе=прош,ед,изъяв,жен,сов","и'ла"
"ужасает","ужаса'ет","0010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,несов","а'ет"
"катилась","кати'лась","010","10","fem","V","V,несов,нп=прош,ед,изъяв,жен","и'лась"
"награждаюсь","награжда'юсь","0010","10","fem","V","V,несов,нп=непрош,ед,изъяв,1-л","а'юсь"
"восхищает","восхища'ет","0010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,несов","а'ет"
"сжата","сжа'та","10","10","fem","V","V=прош,ед,прич,кр,жен,сов,страд","а'та"
"презренный","презре'нный","010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","е'нный"
"вооружались","вооружа'лись","00010","10","fem","V","V,нп=прош,мн,изъяв,несов","а'лись"
"миллионы","миллио'ны","0010","10","fem","S","S,муж,неод=(вин,мн|им,мн)","о'ны"
"отсекут","отсеку'т","001","1","masc","V","V=непрош,мн,изъяв,3-л,сов","у'т"
"воздвигнуть","воздви'гнуть","010","10","fem","V","V,пе=инф,сов","и'гнуть"
"сопровождают","сопровожда'ют","00010","10","fem","V","V=непрош,мн,изъяв,3-л,несов,пе","а'ют"
"вся","вся'","1","1","masc","APRO","APRO=им,ед,жен","ся'"
"совершила","соверши'ла","0010","10","fem","V","V,пе=прош,ед,изъяв,жен,сов","и'ла"
"кладут","кладу'т","01","1","masc","V","V,несов=непрош,мн,изъяв,3-л,пе","у'т"
"слышит","слы'шит","10","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","ы'шит"
"стучат","стуча'т","01","1","masc","V","V,несов,нп=непрош,мн,изъяв,3-л","а'т"
"вложили","вложи'ли","010","10","fem","V","V,пе=прош,мн,изъяв,сов","и'ли"
"вензелями","вензеля'ми","0010","10","fem","S","S,муж,неод=твор,мн","я'ми"
"бумаги","бума'ги","010","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","а'ги"
"шелом","шело'м","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'м"
"покрыт","покры'т","01","1","masc","V","V=прош,ед,прич,кр,муж,сов,страд","ы'т"
"одеяньи","одея'ньи","0010","10","fem","S","S,сред,неод=пр,ед","я'ньи"
"посетила","посети'ла","0010","10","fem","V","V,пе=прош,ед,изъяв,жен,сов","и'ла"
"прийти","прийти'","01","1","masc","V","V,нп=инф,сов","ти'"
"твердыне","тверды'не","010","10","fem","S","S,жен,неод=(пр,ед|дат,ед)","ы'не"
"созидались","созида'лись","0010","10","fem","V","V,несов,нп=прош,мн,изъяв","а'лись"
"созерцал","созерца'л","001","1","masc","V","V,несов,пе=прош,ед,изъяв,муж","а'л"
"мирами","мира'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"ветхозданный","ветхозда'нный","0010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","а'нный"
"воплотился","воплоти'лся","0010","10","fem","V","V,нп=прош,ед,изъяв,муж,сов","и'лся"
"читая","чита'я","010","10","fem","V","V,несов,пе=непрош,деепр","а'я"
"расторг","расто'рг","01","1","masc","V","V,пе=прош,ед,изъяв,муж,сов","о'рг"
"земным","земны'м","01","1","masc","A","A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)","ы'м"
"пролетал","пролета'л","001","1","masc","V","V,несов,пе=прош,ед,изъяв,муж","а'л"
"басурман","басурма'н","001","1","masc","S","S,муж,од=(вин,мн|род,мн)","а'н"
"бассурман","бассу'рман","010","10","fem","S","S,муж,од=(вин,мн|род,мн)","у'рман"
"любим","лю'бим","10","10","fem","V","V,несов,пе=(непрош,мн,изъяв,1-л|непрош,ед,прич,кр,муж,страд)","ю'бим"
"величеству","вели'честву","0100","100","dactylic","S","S,сред,неод=дат,ед","и'честву"
"золотокрылой","золотокры'лой","00010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","ы'лой"
"водный","во'дный","10","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","о'дный"
"отцветет","отцветё'т","001","1","masc","V","V,нп=непрош,ед,изъяв,3-л,сов","ё'т"
"подлетев","подлете'в","001","1","masc","V","V,нп=прош,деепр,сов","е'в"
"балетной","бале'тной","010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","е'тной"
"пресерьезно","пресерье'зно","0010","10","fem","ADV","ADV=","е'зно"
"бранят","браня'т","01","1","masc","V","V,несов,пе=непрош,мн,изъяв,3-л","я'т"
"поносит","поно'сит","010","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","о'сит"
"смут","сму'т","1","1","masc","S","S,жен,неод=род,мн","у'т"
"патенты","пате'нты","010","10","fem","S","S,муж,неод=(вин,мн|им,мн)","е'нты"
"плюмажем","плюма'жем","010","10","fem","S","S,муж,неод=твор,ед","а'жем"
"сыром","сы'ром","10","10","fem","S","S,муж,неод=твор,ед","ы'ром"
"поштучно","пошту'чно","010","10","fem","ADV","ADV=","у'чно"
"огоньки","огоньки'","001","1","masc","S","S,муж,неод=(вин,мн|им,мн)","ки'"
"шторы","што'ры","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","о'ры"
"луче","луче'","01","1","masc","S","S,муж,неод=пр,ед","че'"
"углам","угла'м","01","1","masc","S","S,муж,неод=дат,мн","а'м"
"вздохнем","вздохнё'м","01","1","masc","V","V,нп=(мн,пов,1-л,сов|непрош,мн,изъяв,1-л,сов)","ё'м"
"ума","ума'","01","1","masc","S","S,муж,неод=род,ед","ма'"
"пуху","пу'ху","10","10","fem","S","S,ед,муж,неод=(дат|местн|парт)","у'ху"
"пошутить","пошути'ть","001","1","masc","V","V,сов,нп=инф","и'ть"
"присесть","присе'сть","01","1","masc","V","V,нп=инф,сов","е'сть"
"резвиться","резви'ться","010","10","fem","V","V,несов,нп=инф","и'ться"
"мила","мила'","01","1","masc","S","S,имя,жен,од=им,ед","ла'"
"скрылись","скры'лись","10","10","fem","V","V,нп=прош,мн,изъяв,сов","ы'лись"
"теряя","теря'я","010","10","fem","V","V,несов,пе=непрош,деепр","я'я"
"перепугался","перепуга'лся","00010","10","fem","V","V,сов,нп=прош,ед,изъяв,муж","а'лся"
