"word","word_acc","stress_pattern","closure_pattern","closure","ending_st"
"плясунов","плясуно'в","001","1","masc","о'в"
"пастухом","пастухо'м","001","1","masc","о'м"
"оживленных","оживлё'нных","001'0","001'0","other","ё'нных"
"запустенья","запусте'нья","0010","10","fem","е'нья"
"нарушают","наруша'ют","0010","10","fem","а'ют"
"уничтожает","уничтожа'ет","00010","10","fem","а'ет"
"стяжаньем","стяжа'ньем","010","10","fem","а'ньем"
"волновались","волнова'лись","0010","10","fem","а'лись"
"обольщал","обольща'л","001","1","masc","а'л"
"знакомых","знако'мых","010","10","fem","о'мых"
"толковать","толкова'ть","001","1","masc","а'ть"
"жрец","жре'ц","1","1","masc","е'ц"
"болван","болва'н","01","1","masc","а'н"
"сосать","соса'ть","01","1","masc","а'ть"
"вельможи","вельмо'жи","010","10","fem","о'жи"
"равного","ра'вного","100","100","dactylic","а'вного"
"глуби","глуби'","01","1","masc","би'"
"певучему","певу'чему","0100","100","dactylic","у'чему"
"кротости","кро'тости","100","100","dactylic","о'тости"
"прекрасною","прекра'сною","0100","100","dactylic","а'сною"
"раздольные","раздо'льные","0100","100","dactylic","о'льные"
"коварная","кова'рная","0100","100","dactylic","а'рная"
"чистых","чи'стых","10","10","fem","и'стых"
"воспылает","воспыла'ет","0010","10","fem","а'ет"
"лебедкой","лебё'дкой","01'0","01'0","other","ё'дкой"
"ласкать","ласка'ть","01","1","masc","а'ть"
"никодим","никоди'м","001","1","masc","и'м"
"сводов","сво'дов","10","10","fem","о'дов"
"гробовище","гробови'ще","0010","10","fem","и'ще"
"растенье","расте'нье","010","10","fem","е'нье"
"воев","во'ев","10","10","fem","о'ев"
"числа","числа'","01","1","masc","ла'"
"оживлен","оживлё'н","001'","001'","other","ё'н"
"разнообразил","разнообра'зил","00010","10","fem","а'зил"
"безутешной","безуте'шной","0010","10","fem","е'шной"
"улетели","улете'ли","0010","10","fem","е'ли"
"неглинной","негли'нной","010","10","fem","и'нной"
"благонравных","благонра'вных","0010","10","fem","а'вных"
"целебных","целе'бных","010","10","fem","е'бных"
"дошьется","дошье'тся","010","10","fem","е'тся"
"рукоделий","рукоде'лий","0010","10","fem","е'лий"
"богатым","бога'тым","010","10","fem","а'тым"
"тревожно","трево'жно","010","10","fem","о'жно"
"безопасный","безопа'сный","0010","10","fem","а'сный"
"недошитый","недоши'тый","0010","10","fem","и'тый"
"осла","осла'","01","1","masc","ла'"
"какая","кака'я","010","10","fem","а'я"
"укачать","укача'ть","001","1","masc","а'ть"
"попали","попа'ли","010","10","fem","а'ли"
"скуфьею","скуфьё'ю","01'0","01'0","other","ё'ю"
"бореи","боре'и","010","10","fem","е'и"
"приближаясь","приближа'ясь","0010","10","fem","а'ясь"
"крушился","круши'лся","010","10","fem","и'лся"
"степи","степи'","01","1","masc","пи'"
"уцепясь","уцепя'сь","001","1","masc","я'сь"
"качался","кача'лся","010","10","fem","а'лся"
"крепок","кре'пок","10","10","fem","е'пок"
"высокопарны","высокопа'рны","00010","10","fem","а'рны"
"совместились","совмести'лись","0010","10","fem","и'лись"
"алтарем","алтарё'м","001'","001'","other","ё'м"
"почтенной","почтё'нной","010","10","fem","ё'нной"
"загремит","загреми'т","001","1","masc","и'т"
"смущало","смуща'ло","010","10","fem","а'ло"
"смущал","смуща'л","01","1","masc","а'л"
"надлежало","надлежа'ло","0010","10","fem","а'ло"
"рождаясь","рожда'ясь","010","10","fem","а'ясь"
"качая","кача'я","010","10","fem","а'я"
"чуешь","чу'ешь","10","10","fem","у'ешь"
"краснеет","красне'ет","010","10","fem","е'ет"
"удержали","удержа'ли","0010","10","fem","а'ли"
"сраженных","сражё'нных","01'0","01'0","other","ё'нных"
"прибавил","приба'вил","010","10","fem","а'вил"
"хотина","хоти'на","010","10","fem","и'на"
"томится","томи'тся","010","10","fem","и'тся"
"победа","побе'да","010","10","fem","е'да"
"взмутятся","взмутя'тся","010","10","fem","я'тся"
"агарян","агаря'н","001","1","masc","я'н"
"отвергая","отверга'я","0010","10","fem","а'я"
"надменны","надме'нны","010","10","fem","е'нны"
"пожени","пожени'","001","1","masc","ни'"
"денницын","денни'цын","010","10","fem","и'цын"
"татьбы","татьбы'","01","1","masc","бы'"
"мурзами","мурза'ми","010","10","fem","а'ми"
"жилища","жили'ща","010","10","fem","и'ща"
"сципион","сципио'н","001","1","masc","о'н"
"венчает","венча'ет","010","10","fem","а'ет"
"патриота","патрио'та","0010","10","fem","о'та"
"кроя","кро'я","10","10","fem","о'я"
"дворце","дворце'","01","1","masc","це'"
"хорах","хора'х","01","1","masc","а'х"
"зазвучал","зазвуча'л","001","1","masc","а'л"
"трепещут","трепе'щут","010","10","fem","е'щут"
"жду","жду'","1","1","masc","ду'"
"затих","зати'х","01","1","masc","и'х"
"наксоса","наксо'са","010","10","fem","о'са"
"чернокнижник","чернокни'жник","0010","10","fem","и'жник"
"бледен","бле'ден","10","10","fem","е'ден"
"шубе","шу'бе","10","10","fem","у'бе"
"налегке","налегке'","001","1","masc","ке'"
"цветком","цветко'м","01","1","masc","о'м"
"встрепенулась","встрепену'лась","0010","10","fem","у'лась"
"ожидают","ожида'ют","0010","10","fem","а'ют"
"ветки","ве'тки","10","10","fem","е'тки"
"попекися","попе'кися","0100","100","dactylic","е'кися"
"червячков","червячко'в","001","1","masc","о'в"
"свистит","свисти'т","01","1","masc","и'т"
"навесом","наве'сом","010","10","fem","е'сом"
"пне","пне'","1","1","masc","не'"
"своенравно","своенра'вно","0010","10","fem","а'вно"
"силуэт","силуэ'т","001","1","masc","э'т"
"дичину","дичи'ну","010","10","fem","и'ну"
"пшеницы","пшени'цы","010","10","fem","и'цы"
"золотыя","золоты'я","0010","10","fem","ы'я"
"уложи","уложи'","001","1","masc","жи'"
"сказку","ска'зку","10","10","fem","а'зку"
"избе","избе'","01","1","masc","бе'"
"савка","са'вка","10","10","fem","а'вка"
"зарекалася","зарекала'ся","00010","10","fem","а'ся"
"вую","ву'ю","10","10","fem","у'ю"
"белые","бе'лые","100","100","dactylic","е'лые"
"ярого","я'рого","100","100","dactylic","я'рого"
"дивуется","диву'ется","0100","100","dactylic","у'ется"
"переводим","перево'дим","0010","10","fem","о'дим"
"невзгода","невзго'да","010","10","fem","о'да"
"скатился","скати'лся","010","10","fem","и'лся"
"рубины","руби'ны","010","10","fem","и'ны"
"коварность","кова'рность","010","10","fem","а'рность"
"перенесть","пере'несть","010","10","fem","е'несть"
"изведал","изве'дал","010","10","fem","е'дал"
"повольнее","пово'льнее","0100","100","dactylic","о'льнее"
"случилась","случи'лась","010","10","fem","и'лась"
"шее","ше'е","10","10","fem","е'е"
"грубьян","грубья'н","01","1","masc","я'н"
"ухватки","ухва'тки","010","10","fem","а'тки"
"зал","за'л","1","1","masc","а'л"
"портрету","портре'ту","010","10","fem","е'ту"
"дурна","дурна'","01","1","masc","на'"
"ставим","ста'вим","10","10","fem","а'вим"
"ковре","ковре'","01","1","masc","ре'"
"вставай","встава'й","01","1","masc","а'й"
"убавлялся","убавля'лся","0010","10","fem","я'лся"
"сеткой","се'ткой","10","10","fem","е'ткой"
"сооружали","сооружа'ли","00010","10","fem","а'ли"
"раздольной","раздо'льной","010","10","fem","о'льной"
"раскрытых","раскры'тых","010","10","fem","ы'тых"
"замечанья","замеча'нья","0010","10","fem","а'нья"
"дремало","дрема'ло","010","10","fem","а'ло"
"дорожка","доро'жка","010","10","fem","о'жка"
"столпами","столпа'ми","010","10","fem","а'ми"
"разрыла","разры'ла","010","10","fem","ы'ла"
"рукописанье","рукопис'анье","00100","100","dactylic","с'анье"
"заключено","заключено'","0001","1","masc","но'"
"герсики","ге'рсики","100","100","dactylic","е'рсики"
"приправлю","припра'влю","010","10","fem","а'влю"
"отвечала","отвеча'ла","0010","10","fem","а'ла"
"свиданий","свида'ний","010","10","fem","а'ний"
"чалмою","чалмо'ю","010","10","fem","о'ю"
"черней","черне'й","01","1","masc","е'й"
"околдуем","околду'ем","0010","10","fem","у'ем"
"летучем","лету'чем","010","10","fem","у'чем"
"борьбой","борьбо'й","01","1","masc","о'й"
"видений","виде'ний","010","10","fem","е'ний"
"избитой","изби'той","010","10","fem","и'той"
"тяжелый","тяжё'лый","01'0","01'0","other","ё'лый"
"приковал","прикова'л","001","1","masc","а'л"
"восхищеньем","восхище'ньем","0010","10","fem","е'ньем"
"влекли","влекли'","01","1","masc","ли'"
"красам","краса'м","01","1","masc","а'м"
"горделива","гордели'ва","0010","10","fem","и'ва"
"презреть","презре'ть","01","1","masc","е'ть"
"обольщенье","обольще'нье","0010","10","fem","е'нье"
"златое","злато'е","010","10","fem","о'е"
"тону","тону'","01","1","masc","ну'"
"чудна","чудна'","01","1","masc","на'"
"затихнет","зати'хнет","010","10","fem","и'хнет"
"теле","те'ле","10","10","fem","е'ле"
"взвилась","взвила'сь","01","1","masc","а'сь"
"подлетела","подлете'ла","0010","10","fem","е'ла"
"живом","живо'м","01","1","masc","о'м"
"волнообразна","волнообра'зна","00010","10","fem","а'зна"
"подымай","подыма'й","001","1","masc","а'й"
"лукавы","лука'вы","010","10","fem","а'вы"
"саде","са'де","10","10","fem","а'де"
"ярок","я'рок","10","10","fem","я'рок"
"упорной","упо'рной","010","10","fem","о'рной"
"изобразил","изобрази'л","0001","1","masc","и'л"
"счастливец","счастли'вец","010","10","fem","и'вец"
"поколенье","поколе'нье","0010","10","fem","е'нье"
"скорбях","скорбя'х","01","1","masc","я'х"
"пустых","пусты'х","01","1","masc","ы'х"
"благородном","благоро'дном","0010","10","fem","о'дном"
"гнется","гнё'тся","1'0","1'0","other","ё'тся"
"щебечет","щебе'чет","010","10","fem","е'чет"
"ходила","ходи'ла","010","10","fem","и'ла"
"помирились","помири'лись","0010","10","fem","и'лись"
"косится","ко'сится","100","100","dactylic","о'сится"
"тетка","тё'тка","1'0","1'0","other","ё'тка"
"археолог","архео'лог","0010","10","fem","о'лог"
"заструилась","заструи'лась","0010","10","fem","и'лась"
"господь","госпо'дь","01","1","masc","о'дь"
"ополчился","ополчи'лся","0010","10","fem","и'лся"
"унываю","уныва'ю","0010","10","fem","а'ю"
"покрыл","покры'л","01","1","masc","ы'л"
"уничиженье","уни'чиженье","01000","01000","other","и'чиженье"
"воззываю","воззыва'ю","0010","10","fem","а'ю"
"повсечасно","повсеча'сно","0010","10","fem","а'сно"
"оставлен","оста'влен","010","10","fem","а'влен"
"препнуся","препнуся'","001","1","masc","ся'"
"лицемерных","лицеме'рных","0010","10","fem","е'рных"
"очищенья","очи'щенья","0100","100","dactylic","и'щенья"
"дорогое","дорого'е","0010","10","fem","о'е"
"зажечь","заже'чь","01","1","masc","е'чь"
"дружком","дружко'м","01","1","masc","о'м"
"учить","учи'ть","01","1","masc","и'ть"
"укоризну","укори'зну","0010","10","fem","и'зну"
"ретивое","рети'вое","0100","100","dactylic","и'вое"
"лжив","лжи'в","1","1","masc","и'в"
"мощами","моща'ми","010","10","fem","а'ми"
"селе","селе'","01","1","masc","ле'"
"стоном","сто'ном","10","10","fem","о'ном"
"подхватили","подхвати'ли","0010","10","fem","и'ли"
"помолилась","помоли'лась","0010","10","fem","и'лась"
"побежденна","побежде'нна","0010","10","fem","е'нна"
"возвратися","возвра'тися","0100","100","dactylic","а'тися"
"кубок","ку'бок","10","10","fem","у'бок"
"вопиющих","вопию'щих","0010","10","fem","ю'щих"
"предают","предаю'т","001","1","masc","ю'т"
"вкусил","вкуси'л","01","1","masc","и'л"
"рассуждал","рассужда'л","001","1","masc","а'л"
"защищая","защища'я","0010","10","fem","а'я"
"амазонкой","амазо'нкой","0010","10","fem","о'нкой"
"седлом","седло'м","01","1","masc","о'м"
"зубом","зу'бом","10","10","fem","у'бом"
"пляшет","пля'шет","10","10","fem","я'шет"
"рысью","ры'сью","10","10","fem","ы'сью"
"седле","седле'","01","1","masc","ле'"
"впилась","впила'сь","01","1","masc","а'сь"
"скакала","скака'ла","010","10","fem","а'ла"
"осужденным","осуждё'нным","001'0","001'0","other","ё'нным"
"скрыпит","скры'пит","10","10","fem","ы'пит"
"чернилы","черни'лы","010","10","fem","и'лы"
"зарытый","зары'тый","010","10","fem","ы'тый"
"разладе","разла'де","010","10","fem","а'де"
"глазунова","глазуно'ва","0010","10","fem","о'ва"
"слетит","слети'т","01","1","masc","и'т"
"клич","кли'ч","1","1","masc","и'ч"
"беседы","бесе'ды","010","10","fem","е'ды"
"вскипит","вскипи'т","01","1","masc","и'т"
"чтим","чти'м","1","1","masc","и'м"
"фигура","фигу'ра","010","10","fem","у'ра"
"занимался","занима'лся","0010","10","fem","а'лся"
"певцами","певца'ми","010","10","fem","а'ми"
"обскурантист","обскуранти'ст","0001","1","masc","и'ст"
"погоде","пого'де","010","10","fem","о'де"
"пышет","пы'шет","10","10","fem","ы'шет"
"лгун","лгу'н","1","1","masc","у'н"
"неугомонный","неугомо'нный","00010","10","fem","о'нный"
"астроном","астроно'м","001","1","masc","о'м"
"малых","ма'лых","10","10","fem","а'лых"
"плетущий","плету'щий","010","10","fem","у'щий"
"умалит","умали'т","001","1","masc","и'т"
"наполняясь","наполня'ясь","0010","10","fem","я'ясь"
"посылает","посыла'ет","0010","10","fem","а'ет"
"уважай","уважа'й","001","1","masc","а'й"
"дерзновенных","дерзнове'нных","0010","10","fem","е'нных"
"связали","связа'ли","010","10","fem","а'ли"
"крепясь","крепя'сь","01","1","masc","я'сь"
"начинают","начина'ют","0010","10","fem","а'ют"
"сладкогласная","сладкогла'сная","00100","100","dactylic","а'сная"
"застрехи","застре'хи","010","10","fem","е'хи"
"бледное","бле'дное","100","100","dactylic","е'дное"
"сизокрылая","сизокры'лая","00100","100","dactylic","ы'лая"
"верного","ве'рного","100","100","dactylic","е'рного"
"лишался","лиша'лся","010","10","fem","а'лся"
"бежали","бежа'ли","010","10","fem","а'ли"
"погибнуть","поги'бнуть","010","10","fem","и'бнуть"
"подул","поду'л","01","1","masc","у'л"
"озлатила","озлати'ла","0010","10","fem","и'ла"
"армина","арми'на","010","10","fem","и'на"
"взираю","взира'ю","010","10","fem","а'ю"
"отвечают","отвеча'ют","0010","10","fem","а'ют"
"заседал","заседа'л","001","1","masc","а'л"
"воспеваешь","воспева'ешь","0010","10","fem","а'ешь"
"седых","седы'х","01","1","masc","ы'х"
"окружал","окружа'л","001","1","masc","а'л"
"висел","висе'л","01","1","masc","е'л"
"гнездилась","гнезди'лась","010","10","fem","и'лась"
"достанет","доста'нет","010","10","fem","а'нет"
"прядь","пря'дь","1","1","masc","я'дь"
"тюрен","тю'рен","10","10","fem","ю'рен"
"награждает","награжда'ет","0010","10","fem","а'ет"
"греков","гре'ков","10","10","fem","е'ков"
"восстают","восстаю'т","001","1","masc","ю'т"
"назона","назо'на","010","10","fem","о'на"
"пустили","пусти'ли","010","10","fem","и'ли"
"гермионы","гермио'ны","0010","10","fem","о'ны"
"исступленных","исступлё'нных","001'0","001'0","other","ё'нных"
"находишь","нахо'дишь","010","10","fem","о'дишь"
"ускакал","ускака'л","001","1","masc","а'л"
"набрел","набре'л","01","1","masc","е'л"
"отреклась","отрекла'сь","001","1","masc","а'сь"
"гильотины","гильоти'ны","0010","10","fem","и'ны"
"демосфен","демосфе'н","001","1","masc","е'н"
"одобрялось","одобря'лось","0010","10","fem","я'лось"
"симпатии","симпа'тии","0100","100","dactylic","а'тии"
"переучить","переучи'ть","0001","1","masc","и'ть"
"цвел","цве'л","1","1","masc","е'л"
"превышаешь","превыша'ешь","0010","10","fem","а'ешь"
"пресечь","пресе'чь","01","1","masc","е'чь"
"шумящу","шумя'щу","010","10","fem","я'щу"
"неверен","неве'рен","010","10","fem","е'рен"
"отнесли","отнесли'","001","1","masc","ли'"
"морар","мора'р","01","1","masc","а'р"
"озарятся","озаря'тся","0010","10","fem","я'тся"
"смутился","смути'лся","010","10","fem","и'лся"
"злак","зла'к","1","1","masc","а'к"
"стрелка","стре'лка","10","10","fem","е'лка"
"уважали","уважа'ли","0010","10","fem","а'ли"
"распростря","распростря'","001","1","masc","ря'"
"приносящи","прино'сящи","0100","100","dactylic","о'сящи"
"парламенте","парла'менте","0100","100","dactylic","а'менте"
"веллингтон","веллингто'н","001","1","masc","о'н"
"сюр","сю'р","1","1","masc","ю'р"
"кузьмич","кузьми'ч","01","1","masc","и'ч"
"манеры","мане'ры","010","10","fem","е'ры"
"четвертак","четверта'к","001","1","masc","а'к"
"этаже","этаже'","001","1","masc","же'"
"флоран","фло'ран","10","10","fem","о'ран"
"толкать","толка'ть","01","1","masc","а'ть"
"низость","ни'зость","10","10","fem","и'зость"
"минута","мину'та","010","10","fem","у'та"
"щеку","щеку'","01","1","masc","ку'"
"попробуй","попро'буй","010","10","fem","о'буй"
"тину","ти'ну","10","10","fem","и'ну"
"простоте","простоте'","001","1","masc","те'"
"устремляюсь","устремля'юсь","0010","10","fem","я'юсь"
"отзовися","отзо'вися","0100","100","dactylic","о'вися"
"переживут","переживу'т","0001","1","masc","у'т"
"стихотворенье","стихотворе'нье","00010","10","fem","е'нье"
"сонной","со'нной","10","10","fem","о'нной"
"мелькая","мелька'я","010","10","fem","а'я"
"триумфальным","триумфа'льным","0010","10","fem","а'льным"
"самовары","самова'ры","0010","10","fem","а'ры"
"карандаш","каранда'ш","001","1","masc","а'ш"
"посещаешь","посеща'ешь","0010","10","fem","а'ешь"
"млея","млея'","10","10","fem","ея'"
"посвятив","посвяти'в","001","1","masc","и'в"
"показала","показа'ла","0010","10","fem","а'ла"
"надежно","надё'жно","01'0","01'0","other","ё'жно"
"свещою","свещо'ю","010","10","fem","о'ю"
"прельщают","прельща'ют","010","10","fem","а'ют"
"лодка","ло'дка","10","10","fem","о'дка"
"гроб","гро'б","1","1","masc","о'б"
"вменя","вменя'","01","1","masc","ня'"
"ново","но'во","10","10","fem","о'во"
"приемлю","прие'млю","010","10","fem","е'млю"
"воздает","воздаё'т","001'","001'","other","ё'т"
"орланда","орла'нда","010","10","fem","а'нда"
"перещеголял","перещеголя'л","00001","1","masc","я'л"
"подрались","подра'лись","010","10","fem","а'лись"
"разбойнички","разбо'йнички","0100","100","dactylic","о'йнички"
"праздны","пра'здны","10","10","fem","а'здны"
"тупо","ту'по","10","10","fem","у'по"
"недопетой","недопе'той","0010","10","fem","е'той"
"евы","е'вы","10","10","fem","е'вы"
"возобновит","возобнови'т","0001","1","masc","и'т"
"льдах","льда'х","1","1","masc","а'х"
"чуда","чу'да","10","10","fem","у'да"
"пруд","пру'д","1","1","masc","у'д"
"поймут","пойму'т","01","1","masc","у'т"
"томной","то'мной","10","10","fem","о'мной"
"груды","гру'ды","10","10","fem","у'ды"
"отошло","отошло'","001","1","masc","ло'"
"потекли","потекли'","001","1","masc","ли'"
"насмехался","насмеха'лся","0010","10","fem","а'лся"
"успеха","успе'ха","010","10","fem","е'ха"
"перебиваешь","перебива'ешь","00010","10","fem","а'ешь"
"поднесенну","поднесе'нну","0010","10","fem","е'нну"
"новосельем","новосе'льем","0010","10","fem","е'льем"
"скучна","скучна'","01","1","masc","на'"
"бесцветна","бесцве'тна","010","10","fem","е'тна"
"русской","ру'сской","10","10","fem","у'сской"
"говеть","гове'ть","01","1","masc","е'ть"
"знатен","зна'тен","10","10","fem","а'тен"
"должны","должны'","01","1","masc","ны'"
"короне","коро'не","010","10","fem","о'не"
"попов","попо'в","01","1","masc","о'в"
"крутые","круты'е","010","10","fem","ы'е"
"просим","про'сим","10","10","fem","о'сим"
"омраченье","омраче'нье","0010","10","fem","е'нье"
"подыму","подыму'","001","1","masc","му'"
"удушая","удуша'я","0010","10","fem","а'я"
"невнятен","невня'тен","010","10","fem","я'тен"
"птице","пти'це","10","10","fem","и'це"
"пошлю","пошлю'","01","1","masc","лю'"
"багровы","багро'вы","010","10","fem","о'вы"
"вьетесь","вьё'тесь","1'0","1'0","other","ё'тесь"
"замолчите","замолчи'те","0010","10","fem","и'те"
"рябины","ряби'ны","010","10","fem","и'ны"
"знаменуя","знамену'я","0010","10","fem","у'я"
"мечтаньи","мечта'ньи","010","10","fem","а'ньи"
"окой","око'й","01","1","masc","о'й"
"молчу","молчу'","01","1","masc","чу'"
"полно","по'лно","10","10","fem","о'лно"
"лихою","лихо'ю","010","10","fem","о'ю"
"паркеты","парке'ты","010","10","fem","е'ты"
"дубовый","дубо'вый","010","10","fem","о'вый"
"играю","игра'ю","010","10","fem","а'ю"
"клиром","кли'ром","10","10","fem","и'ром"
"писцов","писцо'в","01","1","masc","о'в"
"провозглашен","провозглашё'н","0001'","0001'","other","ё'н"
"торопился","торопи'лся","0010","10","fem","и'лся"
"украшал","украша'л","001","1","masc","а'л"
"утешаюсь","утеша'юсь","0010","10","fem","а'юсь"
"благополучных","благополу'чных","00010","10","fem","у'чных"
"полезный","поле'зный","010","10","fem","е'зный"
"уронил","урони'л","001","1","masc","и'л"
"полоскать","полоска'ть","001","1","masc","а'ть"
"янтарей","янтаре'й","001","1","masc","е'й"
"уснул","усну'л","01","1","masc","у'л"
"святыню","святы'ню","010","10","fem","ы'ню"
"тащат","та'щат","10","10","fem","а'щат"
"христианства","христиа'нства","0010","10","fem","а'нства"
"отверзтых","отве'рзтых","010","10","fem","е'рзтых"
"отравитель","отрави'тель","0010","10","fem","и'тель"
"небрежность","небре'жность","010","10","fem","е'жность"
"укоризна","укори'зна","0010","10","fem","и'зна"
"намеки","намё'ки","01'0","01'0","other","ё'ки"
"страждешь","стра'ждешь","10","10","fem","а'ждешь"
"заключены","заключены'","0001","1","masc","ны'"
"коварства","кова'рства","010","10","fem","а'рства"
"кость","ко'сть","1","1","masc","о'сть"
"низок","ни'зок","10","10","fem","и'зок"
"обделил","обдели'л","001","1","masc","и'л"
"танца","та'нца","10","10","fem","а'нца"
"сетуй","се'туй","10","10","fem","е'туй"
"помирись","помири'сь","001","1","masc","и'сь"
"освящена","освящена'","0001","1","masc","на'"
"беспокойной","беспоко'йной","0010","10","fem","о'йной"
"освятитель","освяти'тель","0010","10","fem","и'тель"
"убеляет","убеля'ет","0010","10","fem","я'ет"
"разошлися","разошли'ся","0010","10","fem","и'ся"
"давил","дави'л","01","1","masc","и'л"
"созидая","созида'я","0010","10","fem","а'я"
"завещанье","завеща'нье","0010","10","fem","а'нье"
"валтасары","валтаса'ры","0010","10","fem","а'ры"
"гневом","гне'вом","10","10","fem","е'вом"
"сшибки","сши'бки","10","10","fem","и'бки"
"безмятежно","безмяте'жно","0010","10","fem","е'жно"
"смятенью","смяте'нью","010","10","fem","е'нью"
"спокойный","споко'йный","010","10","fem","о'йный"
"разразится","разрази'тся","0010","10","fem","и'тся"
"веселее","веселе'е","0010","10","fem","е'е"
"кажуся","кажу'ся","010","10","fem","у'ся"
"воспаленну","воспале'нну","0010","10","fem","е'нну"
"ветерочек","ветеро'чек","0010","10","fem","о'чек"
"тужить","тужи'ть","01","1","masc","и'ть"
"островах","острова'х","001","1","masc","а'х"
"казакам","казака'м","001","1","masc","а'м"
"молил","моли'л","01","1","masc","и'л"
"веселися","весели'ся","0010","10","fem","и'ся"
"цветешь","цветё'шь","01'","01'","other","ё'шь"
"устарел","устаре'л","001","1","masc","е'л"
"исскуства","исс'куства","100","100","dactylic","с'куства"
"невнятный","невня'тный","010","10","fem","я'тный"
"лицемеришь","лицеме'ришь","0010","10","fem","е'ришь"
"светла","светла'","01","1","masc","ла'"
"обложить","обложи'ть","001","1","masc","и'ть"
"разгадает","разгада'ет","0010","10","fem","а'ет"
"свиток","сви'ток","10","10","fem","и'ток"
"слепоте","слепоте'","001","1","masc","те'"
"уступит","усту'пит","010","10","fem","у'пит"
"спокойном","споко'йном","010","10","fem","о'йном"
"смотрю","смотрю'","01","1","masc","рю'"
"лобзая","лобза'я","010","10","fem","а'я"
"порхайте","порха'йте","010","10","fem","а'йте"
"покрывают","покрыва'ют","0010","10","fem","а'ют"
"ниспускаясь","ниспуска'ясь","0010","10","fem","а'ясь"
"повторяю","повторя'ю","0010","10","fem","я'ю"
"тяжелом","тяжё'лом","01'0","01'0","other","ё'лом"
"заговорила","заговори'ла","00010","10","fem","и'ла"
"вешним","ве'шним","10","10","fem","е'шним"
"головкой","голо'вкой","010","10","fem","о'вкой"
"орденами","ордена'ми","0010","10","fem","а'ми"
"пара","па'ра","10","10","fem","а'ра"
"сломили","сломи'ли","010","10","fem","и'ли"
"задача","зада'ча","010","10","fem","а'ча"
"кармана","карма'на","010","10","fem","а'на"
"содрать","содра'ть","01","1","masc","а'ть"
"облекаю","облека'ю","0010","10","fem","а'ю"
"броню","броню'","01","1","masc","ню'"
"намели","намели'","001","1","masc","ли'"
"упрочил","упро'чил","010","10","fem","о'чил"
"издатель","изда'тель","010","10","fem","а'тель"
"грош","гро'ш","1","1","masc","о'ш"
"квартиры","кварти'ры","010","10","fem","и'ры"
"хитро","хитро'","01","1","masc","ро'"
"самый","са'мый","10","10","fem","а'мый"
"кукареку","кукареку'","0001","1","masc","ку'"
"преотменный","прео'тменный","0100","100","dactylic","о'тменный"
"представляли","представля'ли","0010","10","fem","я'ли"
"потонет","пото'нет","010","10","fem","о'нет"
"грудную","грудну'ю","010","10","fem","у'ю"
"омрачим","омрачи'м","001","1","masc","и'м"
"опасной","опа'сной","010","10","fem","а'сной"
"видала","вида'ла","010","10","fem","а'ла"
"утаить","утаи'ть","001","1","masc","и'ть"
"ода","о'да","10","10","fem","о'да"
"уроды","уро'ды","010","10","fem","о'ды"
"поразбогатели","поразбога'тели","000100","100","dactylic","а'тели"
"спеть","спе'ть","1","1","masc","е'ть"
"рылеев","рыле'ев","010","10","fem","е'ев"
"сочиняют","сочиня'ют","0010","10","fem","я'ют"
"денег","де'нег","10","10","fem","е'нег"
"приведут","приведу'т","001","1","masc","у'т"
"шарлатаном","шарлата'ном","0010","10","fem","а'ном"
"шарлатан","шарлата'н","001","1","masc","а'н"
"завыла","завы'ла","010","10","fem","ы'ла"
"живыми","живы'ми","010","10","fem","ы'ми"
"услаждала","услажда'ла","0010","10","fem","а'ла"
"стихало","стиха'ло","010","10","fem","а'ло"
"всесильной","всеси'льной","010","10","fem","и'льной"
"получают","получа'ют","0010","10","fem","а'ют"
"правдивы","правди'вы","010","10","fem","и'вы"
"пропало","пропа'ло","010","10","fem","а'ло"
"увереньем","уве'реньем","0100","100","dactylic","е'реньем"
"наградится","награди'тся","0010","10","fem","и'тся"
"пощадит","пощади'т","001","1","masc","и'т"
"ополчится","ополчи'тся","0010","10","fem","и'тся"
"загадки","зага'дки","010","10","fem","а'дки"
"обильным","оби'льным","010","10","fem","и'льным"
"упомянуть","упомяну'ть","0001","1","masc","у'ть"
"плугом","плу'гом","10","10","fem","у'гом"
"отличать","отлича'ть","001","1","masc","а'ть"
"цветно","цветно'","01","1","masc","но'"
"соседом","сосе'дом","010","10","fem","е'дом"
"государю","госуда'рю","0010","10","fem","а'рю"
"головах","голова'х","001","1","masc","а'х"
"дружбе","дру'жбе","10","10","fem","у'жбе"
"потеешь","поте'ешь","010","10","fem","е'ешь"
"неоценимый","неоцени'мый","00010","10","fem","и'мый"
"эдема","эде'ма","010","10","fem","е'ма"
"кругами","круга'ми","010","10","fem","а'ми"
"чернокрылой","чернокры'лой","0010","10","fem","ы'лой"
"заклятий","закля'тий","010","10","fem","я'тий"
"дыханью","дыха'нью","010","10","fem","а'нью"
"гробницами","гробни'цами","0100","100","dactylic","и'цами"
"носится","но'сится","100","100","dactylic","о'сится"
"немею","неме'ю","010","10","fem","е'ю"
"речиста","речи'ста","010","10","fem","и'ста"
"нахальной","наха'льной","010","10","fem","а'льной"
"приплывала","приплыва'ла","0010","10","fem","а'ла"
"водный","во'дный","10","10","fem","о'дный"
"вылезает","вылеза'ет","0010","10","fem","а'ет"
"раздалися","разда'лися","0100","100","dactylic","а'лися"
"безгласны","безгла'сны","010","10","fem","а'сны"
