"","text_id","A_ID","author_text","author_sign","text_title","text_subtitle","first_line","year","path_text","source_text","COL_ID","corpus"
"627","P_1580","A-163","Гребенка Е.П.","Е. Гребенка","Украинский бард","","Под тенью липы, перед дверью","1837","../../data/corpus1835/periodicals/per_raw//P_1580.txt","ЛПРИ. 1837. №49. C. 481-482","","per"
"628","P_1581","A-277","Степанов Н.","Николай Степанов","Совесть","","Сильна, страшна разгневанная совесть","1837","../../data/corpus1835/periodicals/per_raw//P_1581.txt","ЛПРИ. 1837. №50. C. 489","","per"
"629","P_1582","A-206","Лукашевич Г.","Г. Лукашевич","Украинские степи","","Прекрасны вы, степи Украйны родной","1837","../../data/corpus1835/periodicals/per_raw//P_1582.txt","ЛПРИ. 1837. №50. C. 489","","per"
"630","P_1583","","","","Ожидание","","Чужой для всех, ничем не связан","1837","../../data/corpus1835/periodicals/per_raw//P_1583.txt","ЛПРИ. 1837. №52. C. 509","","per"
"631","P_1584","A-77","Сушков Д.П.","Д. Сушков","Вдохновение","","Когда мы женщину душою пылкой любим","1837","../../data/corpus1835/periodicals/per_raw//P_1584.txt","ЛПРИ. 1837. №52. C. 509","","per"
"632","P_1585","A-113","Козлов И.И.","И. Козлов","Милой дочери Графини Фикельмон","","Цвети, лилея молодая","1837","../../data/corpus1835/periodicals/per_raw//P_1585.txt","ЛПРИ. 1837. №52. C. 509","","per"
"633","P_1587","A-74","Марков М.А.","М. Марков","Новый год","","Настал — и тысячи желаний","1838","../../data/corpus1835/periodicals/per_raw//P_1587.txt","ЛПРИ. 1838. №1. C. 5","","per"
"634","P_1588","A-49","Соколовский В.И.","В. Соколовский","Последнее восстановление","В.И.К.","Как молнья в высоте лазурной","1838","../../data/corpus1835/periodicals/per_raw//P_1588.txt","ЛПРИ. 1838. №2. C. 26-27","","per"
"635","P_1589","A-163","Гребенка Е.П.","Е. Гребенка","Моя месть","","Люди-братья, вы успели","1838","../../data/corpus1835/periodicals/per_raw//P_1589.txt","ЛПРИ. 1838. №4. C. 69","","per"
"636","P_159","A-110","Давыдов Д.В.","Д. Давыдов","Речка","","Давно ли речка голубая","1837","../../data/corpus1835/periodicals/per_raw//P_159.txt","БдЧ. 1837. Т. 21. C. 106-108","","per"
"637","P_1590","A-113","Козлов И.И.","Иван Козлов","Другу весны моей","После долгой, долгой разлуки","О удались! полу-живого","1838","../../data/corpus1835/periodicals/per_raw//P_1590.txt","ЛПРИ. 1838. №5. C. 87","","per"
"638","P_1591","","","","Шебутуй, водопад Станового Хребта","","Стенай, шуми, поток пустынный","1838","../../data/corpus1835/periodicals/per_raw//P_1591.txt","ЛПРИ. 1838. №5. C. 87-88","","per"
"639","P_1592","A-49","Соколовский В.И.","В. Соколовский","Тайна поэта","*…, *… *…вой. Для 4-го декабря 1837","Как скатный перлы, как бисер цветистый","1838","../../data/corpus1835/periodicals/per_raw//P_1592.txt","ЛПРИ. 1838. №6. C. 110-111","","per"
"640","P_1593","A-50","Якубович Л.А.","Л. Якубович","Русский инвалид","","Дитя военной непогоды","1838","../../data/corpus1835/periodicals/per_raw//P_1593.txt","ЛПРИ. 1838. №6. C. 111","","per"
"641","P_1594","A-150","Вяземский П.А.","Кн. П. Вяземский","","Стихотворения, сочиненные для пятидесятилетнего юбилея И.А. Крылову","На радость полувековую","1838","../../data/corpus1835/periodicals/per_raw//P_1594.txt","ЛПРИ. 1838. №7. C. 125-126","","per"
"642","P_1595","A-18","Бенедиктов В.Г.","В.Г. Бенедиктов","","","День счастливый, день прекрасный","1838","../../data/corpus1835/periodicals/per_raw//P_1595.txt","ЛПРИ. 1838. №7. C. 126","","per"
"643","P_1596","A-163","Гребенка Е.П.","Е. Гребенка","Лавровый листок","","Пир волшебными огнями","1838","../../data/corpus1835/periodicals/per_raw//P_1596.txt","ЛПРИ. 1838. №7. C. 126","","per"
"644","P_1597","","Н. Соколов","Н. Соколов","Море","","Ясный день умчался в даль","1838","../../data/corpus1835/periodicals/per_raw//P_1597.txt","ЛПРИ. 1838. №8. C. 147-148","","per"
"645","P_1598","A-51","Стромилов С.И.","С. Стромилов","Стансы","1837","Сбылись надежды православной","1838","../../data/corpus1835/periodicals/per_raw//P_1598.txt","ЛПРИ. 1838. №9. C. 166","","per"
"646","P_1599","A-50","Якубович Л.А.","Л. Якубович","Смех и слезы","","Когда наш праотец впервые","1838","../../data/corpus1835/periodicals/per_raw//P_1599.txt","ЛПРИ. 1838. №9. C. 166","","per"
"647","P_16","A-140","Грибоедов А.С.","Грибоедов","Душа","","Жива ли я","1835","../../data/corpus1835/periodicals/per_raw//P_16.txt","БдЧ. 1835. Т.8. Отд. 1. C. 160","","per"
"648","P_160","A-101","Шахова Е.Н.","Е. Шахова","Видение девушки","","Весенней ночью благодатной","1837","../../data/corpus1835/periodicals/per_raw//P_160.txt","БдЧ. 1837. Т. 21. C. 108-112","","per"
"649","P_1600","A-7","Кольцов А.В.","А. Кольцов","Ура","","Ходит оклик по горам","1838","../../data/corpus1835/periodicals/per_raw//P_1600.txt","ЛПРИ. 1838. №10. C. 189-190","","per"
"650","P_1601","A-74","Марков М.А.","М. Марков","Покаяние","","Стою пред чашей искупленья","1838","../../data/corpus1835/periodicals/per_raw//P_1601.txt","ЛПРИ. 1838. №10. C. 190","","per"
"651","P_1602","A-164","Мейстер И.","И. Мейстер","К Тирзе","Из Байрона (One struggle more, and i am free etc.)","Еще одно усилие, и я свободен","1838","../../data/corpus1835/periodicals/per_raw//P_1602.txt","ЛПРИ. 1838. №11. C. 208-209","","per"
"652","P_1603","A-50","Якубович Л.А.","Л. Якубович","Гений","","На небе пасмурном за тучей мчатся тучи","1838","../../data/corpus1835/periodicals/per_raw//P_1603.txt","ЛПРИ. 1838. №11. C. 209","","per"
"653","P_1604","A-61","Бестужев А.А. (Марлинский)","А. Марлинский","Мечта","","Я за морем синим, за синею далью","1838","../../data/corpus1835/periodicals/per_raw//P_1604.txt","ЛПРИ. 1838. №12. C. 230","","per"
"654","P_1605","A-228","Голицын М.Г.","Кн. Мих. Голицын","Желание","","Гордо сокол парит над родною землей","1838","../../data/corpus1835/periodicals/per_raw//P_1605.txt","ЛПРИ. 1838. №12. C. 230","","per"
"655","P_1606","","М.Г.","М.Г.","К Г.С.П.","","Не на меня, клянусь владыкой мира","1838","../../data/corpus1835/periodicals/per_raw//P_1606.txt","ЛПРИ. 1838. №12. C. 230","","per"
"656","P_1607","","Г.В.С.","Г.В.С.","Роза","","В чертогах роскошных красой величавой","1838","../../data/corpus1835/periodicals/per_raw//P_1607.txt","ЛПРИ. 1838. №13. C. 248","","per"
"657","P_1608","A-7","Кольцов А.В.","А. Кольцов","Две жизни","Дума","Две жизни в мире есть","1838","../../data/corpus1835/periodicals/per_raw//P_1608.txt","ЛПРИ. 1838. №13. C. 248","","per"
"658","P_1609","A-7","Кольцов А.В.","А. Кольцов","Человеческая мудрость","Дума","Что ты значишь в этом мире","1838","../../data/corpus1835/periodicals/per_raw//P_1609.txt","ЛПРИ. 1838. №13. C. 248","","per"
"659","P_1610","A-49","Соколовский В.И.","В. Соколовский","Октавы утешения","Благовестительная ода","Блажен кто нищ, друзья Мои","1838","../../data/corpus1835/periodicals/per_raw//P_1610.txt","ЛПРИ. 1838. №15. C. 288","","per"
"660","P_1611","A-113","Козлов И.И.","Ив. Козлов","К ***","","Что я во цвете юных дней","1838","../../data/corpus1835/periodicals/per_raw//P_1611.txt","ЛПРИ. 1838. №15. C. 288","","per"
"661","P_1612","A-7","Кольцов А.В.","А. Кольцов","Неразгаданная истина","Дума","Целый век я рылся","1838","../../data/corpus1835/periodicals/per_raw//P_1612.txt","ЛПРИ. 1838. №15. C. 289","","per"
"662","P_1613","A-277","Степанов Н.","Николай Степанов","Фатима","","В отчизне туманов, снегов и метелей","1838","../../data/corpus1835/periodicals/per_raw//P_1613.txt","ЛПРИ. 1838. №16. C. 306","","per"
"663","P_1614","A-77","Сушков Д.П.","Д. Сушков","Скала","","Кормчий! кормчий! что пред нами","1838","../../data/corpus1835/periodicals/per_raw//P_1614.txt","ЛПРИ. 1838. №16. C. 306-307","","per"
"664","P_1615","A-26","Полежаев А.И.","А. Полежаев","Духи зла","","Есть духи зла, неистовые чада","1838","../../data/corpus1835/periodicals/per_raw//P_1615.txt","ЛПРИ. 1838. №17. C. 326-327","","per"
"665","P_1616","A-161","Айбулат К.М.","К. Айбулат-Розен","Паркетным друзьям","","Разочарован, други, я","1838","../../data/corpus1835/periodicals/per_raw//P_1616.txt","ЛПРИ. 1838. №17. C. 327","","per"
"666","P_1617","A-278","Афанасьева А.","Авдотья Афанасьева","Луч солнца","","Люблю смотреть, как солнца луч","1838","../../data/corpus1835/periodicals/per_raw//P_1617.txt","ЛПРИ. 1838. №17. C. 327","","per"
"667","P_1618","A-202","Макшеева В.Д.","Варвара Макшеева","Будущее","","В тумане тайн, под завесой густою","1838","../../data/corpus1835/periodicals/per_raw//P_1618.txt","ЛПРИ. 1838. №19. C. 367","","per"
"668","P_1619","A-182","Карамзин А.Н.","А. Лаголов","Неопасная соперница","","Не дивитесь, девы юные","1838","../../data/corpus1835/periodicals/per_raw//P_1619.txt","ЛПРИ. 1838. №19. C. 367","","per"
"669","P_162","A-11","Пушкин А.С.","А. Пушкин","Признание к Александре Ивановне О-ой","1821","Я вас люблю, - хоть я бешусь","1837","../../data/corpus1835/periodicals/per_raw//P_162.txt","БдЧ. 1837. Т. 22. C. 5-6","","per"
"670","P_1620","A-26","Полежаев А.И.","А. Полежаев","Грешница","Подражание библейскому","И говорят Ему: она","1838","../../data/corpus1835/periodicals/per_raw//P_1620.txt","ЛПРИ. 1838. №20. C. 384-385","","per"
"671","P_1621","A-113","Козлов И.И.","Ив. Козлов","Песня","","Солнце красное — о прекрасное!","1838","../../data/corpus1835/periodicals/per_raw//P_1621.txt","ЛПРИ. 1838. №20. C. 385","","per"
"672","P_1622","A-161","Айбулат К.М.","К. Айбулат-Розен","Греческая песня","","Пробудись, о сын Эллады","1838","../../data/corpus1835/periodicals/per_raw//P_1622.txt","ЛПРИ. 1838. №20. C. 385","","per"
"673","P_1623","A-95","Струйский Д.Ю.","Д. Струйский","Ведаил","","Аллахов Ведаил все знает на земле","1838","../../data/corpus1835/periodicals/per_raw//P_1623.txt","ЛПРИ. 1838. №20. C. 385","","per"
"674","P_1624","A-172","Башилов А.А.","Александр Башилов","","Три жизни. Вы были, есть и будете","Под мирной сению родительского крова","1838","../../data/corpus1835/periodicals/per_raw//P_1624.txt","ЛПРИ. 1838. №21. C. 405","","per"
"675","P_1625","A-172","Башилов А.А.","Александр Башилов","","Три жизни. Вы были, есть и будете","Скажу вас просто от души","1838","../../data/corpus1835/periodicals/per_raw//P_1625.txt","ЛПРИ. 1838. №21. C. 405","","per"
"676","P_1626","A-172","Башилов А.А.","Александр Башилов","Семейные очерки","Три жизни. Вы были, есть и будете","Взглядитесь в зеркало, красивая смуглянка","1838","../../data/corpus1835/periodicals/per_raw//P_1626.txt","ЛПРИ. 1838. №21. C. 405-406","","per"
"677","P_1627","A-163","Гребенка Е.П.","Е. Гребенка","Утешение","","Мой друг, ты недоволен светом?","1838","../../data/corpus1835/periodicals/per_raw//P_1627.txt","ЛПРИ. 1838. №21. C. 406","","per"
"678","P_1628","A-113","Козлов И.И.","Ив. Козлов","Стансы","","Настала тень осенней, длинной ночи","1838","../../data/corpus1835/periodicals/per_raw//P_1628.txt","ЛПРИ. 1838. №22. C. 425-426","","per"
"679","P_1629","A-277","Степанов Н.","Николай Степанов","Незнакомке","В альбом","Когда в душе гудят раскаты грома","1838","../../data/corpus1835/periodicals/per_raw//P_1629.txt","ЛПРИ. 1838. №22. C. 426","","per"
"680","P_163","A-153","Ростопчина Е.П.","Гр. А-я Р-а","Месть","","Есть злая страсть, - есть чувство проклятое","1837","../../data/corpus1835/periodicals/per_raw//P_163.txt","БдЧ. 1837. Т. 22. C. 7-9","","per"
"681","P_1630","A-7","Кольцов А.В.","А. Кольцов","Пора любви","","Весною степь зеленая","1838","../../data/corpus1835/periodicals/per_raw//P_1630.txt","ЛПРИ. 1838. №22. C. 426","","per"
"682","P_1631","A-26","Полежаев А.И.","А. Полежаев","Русская песня","","Долго ль будет вам безумолку идти","1838","../../data/corpus1835/periodicals/per_raw//P_1631.txt","ЛПРИ. 1838. №23. C. 444","","per"
"683","P_1632","A-228","Голицын М.Г.","Кн. Мих. Голицын","Чувство русского","1832","Узнайте да поведайте","1838","../../data/corpus1835/periodicals/per_raw//P_1632.txt","ЛПРИ. 1838. №23. C. 444","","per"
"684","P_1633","A-258","Драгоманов Я.А.","Я. Драгоманов","Посвящение","Подражание Байрону","Ты помнишь ли, когда, скользя над крутизной","1838","../../data/corpus1835/periodicals/per_raw//P_1633.txt","ЛПРИ. 1838. №23. C. 444-445","","per"
"685","P_1634","A-18","Бенедиктов В.Г.","В. Бенедиктов","31 декабря 1837","","Звучат часов медлительных удары","1838","../../data/corpus1835/periodicals/per_raw//P_1634.txt","ЛПРИ. 1838. №24. C. 465","","per"
"686","P_1635","A-51","Стромилов С.И.","С. Стромилов","Подражание","","Что сталося с тобой, возлюбленный мой град","1838","../../data/corpus1835/periodicals/per_raw//P_1635.txt","ЛПРИ. 1838. №24. C. 465-466","","per"
"687","P_1636","A-113","Козлов И.И.","Ив. Козлов","Из Джияура","Подражательный перевод","Блестя на пурпурных крылах","1838","../../data/corpus1835/periodicals/per_raw//P_1636.txt","ЛПРИ. 1838. №24. C. 466","","per"
"688","P_1637","A-50","Якубович Л.А.","Л. Якубович","Возвращение русского солдата","","Чу! несется за холмами","1838","../../data/corpus1835/periodicals/per_raw//P_1637.txt","ЛПРИ. 1838. №25. C. 485","","per"
"689","P_1638","A-7","Кольцов А.В.","А. Кольцов","Два прощанья","","Так ты, моя","1838","../../data/corpus1835/periodicals/per_raw//P_1638.txt","ЛПРИ. 1838. №25. C. 486","","per"
"690","P_1639","A-220","Панаев И.И.","Ив. Панаев","Лже-поэту","","Тот не поэт, кто мудрствует лукаво","1838","../../data/corpus1835/periodicals/per_raw//P_1639.txt","ЛПРИ. 1838. №25. C. 486","","per"
"691","P_164","A-15","Тимофеев А.В.","Тимофеев","Призвание","","Есть бедный невольник: с небесной душою","1837","../../data/corpus1835/periodicals/per_raw//P_164.txt","БдЧ. 1837. Т. 22. C. 9-10","","per"
"692","P_1640","A-51","Стромилов С.И.","С. Стромилов","Поэт","","Блажен, кто в час мирской тревоги","1838","../../data/corpus1835/periodicals/per_raw//P_1640.txt","ЛПРИ. 1838. №26. C. 507","","per"
"693","P_1641","A-161","Айбулат К.М.","К. Айбулат-Розен","Кокетке","","Я понял вас, я разгадал","1838","../../data/corpus1835/periodicals/per_raw//P_1641.txt","ЛПРИ. 1838. №26. C. 507-508","","per"
"694","P_1642","A-113","Козлов И.И.","Ив. Козлов","Встреча","Баллада","Ты знаешь над Днепром-рекой","1838","../../data/corpus1835/periodicals/per_raw//P_1642.txt","ЛПРИ. 1838. №27. C. 527","","per"
"695","P_1643","A-161","Айбулат К.М.","К. Айбулат-Розен","Песня","","Что, склонившись у окошка","1838","../../data/corpus1835/periodicals/per_raw//P_1643.txt","ЛПРИ. 1838. №29. C. 564","","per"
"696","P_1644","A-51","Стромилов С.И.","С. Стромилов","Неэре","","Люблю я — виноват — полуночной порою","1838","../../data/corpus1835/periodicals/per_raw//P_1644.txt","ЛПРИ. 1838. №29. C. 564","","per"
"697","P_1645","","М.Ф.","М.Ф.","Солдатская песня","","Как по морю, по волнам","1838","../../data/corpus1835/periodicals/per_raw//P_1645.txt","ЛПРИ. 1838. №30. C. 587","","per"
"698","P_1646","A-77","Сушков Д.П.","Д. Сушков","Цирцее","","Так, вижу я, я ошибался","1838","../../data/corpus1835/periodicals/per_raw//P_1646.txt","ЛПРИ. 1838. №30. C. 587-588","","per"
"699","P_1647","A-51","Стромилов С.И.","С. Стромилов","Признание","","Я вам люблю; чистосердечно","1838","../../data/corpus1835/periodicals/per_raw//P_1647.txt","ЛПРИ. 1838. №31. C. 606","","per"
"700","P_1648","","К-в","К-в","Вечернее размышление о Божием величии, соч. Ломоносова, переложенное в Русский размер","","День сокрыл лице; ночь в полях лежит","1838","../../data/corpus1835/periodicals/per_raw//P_1648.txt","ЛПРИ. 1838. №32. C. 627","","per"
"701","P_1649","A-241","Вуич Н.Е.","Николай Вуич","Дуб","","Что ты дуб, поник главою","1838","../../data/corpus1835/periodicals/per_raw//P_1649.txt","ЛПРИ. 1838. №32. C. 627","","per"
"702","P_165","A-110","Давыдов Д.В.","Д. Давыдов","Листок","","Листок иссохший, одинокой","1837","../../data/corpus1835/periodicals/per_raw//P_165.txt","БдЧ. 1837. Т. 22. C. 10-11","","per"
"703","P_1651","A-241","Вуич Н.Е.","Николай Вуич","Гроза","","Налетела гроза как озлобленный дух","1838","../../data/corpus1835/periodicals/per_raw//P_1651.txt","ЛПРИ. 1838. №34. C. 665","","per"
"704","P_1652","A-155","Менцов Ф.Н.","Ф. Менцов","Вечерняя дума","","Стремяся в путь безвестный, дальний","1838","../../data/corpus1835/periodicals/per_raw//P_1652.txt","ЛПРИ. 1838. №34. C. 665","","per"
"705","P_1653","A-50","Якубович Л.А.","Л. Якубович","Двойственность","","Нужна мне ночи мгла густая","1838","../../data/corpus1835/periodicals/per_raw//P_1653.txt","ЛПРИ. 1838. №35. C. 687","","per"
"706","P_1654","A-51","Стромилов С.И.","С. Стромилов","Облачко","","На небе ни тучки; широко, широко","1838","../../data/corpus1835/periodicals/per_raw//P_1654.txt","ЛПРИ. 1838. №35. C. 687","","per"
"707","P_1655","A-161","Айбулат К.М.","К. Айбулат","Смерть","","Она придет неслышно и незримо","1838","../../data/corpus1835/periodicals/per_raw//P_1655.txt","ЛПРИ. 1838. №36. C. 709","","per"
"708","P_1656","A-95","Струйский Д.Ю.","Д. Струйский","Ангелу смерти","","Привет тебе, наш добрый гений","1838","../../data/corpus1835/periodicals/per_raw//P_1656.txt","ЛПРИ. 1838. №36. C. 709","","per"
"709","P_1657","A-227","Волконская З.А.","Княгина З. Волконская","К морю","","Байрон и Пушкин и Жуковский","1838","../../data/corpus1835/periodicals/per_raw//P_1657.txt","ЛПРИ. 1838. №37. C. 728","","per"
"710","P_1658","A-49","Соколовский В.И.","В. Соколовский","Помышления пленных","","На брегах Вавилонской реки","1838","../../data/corpus1835/periodicals/per_raw//P_1658.txt","ЛПРИ. 1838. №38. C. 747","","per"
"711","P_166","A-37","Бернет Е.","Е. Бернет","Всадник","","Трубы воют, милый мой","1837","../../data/corpus1835/periodicals/per_raw//P_166.txt","БдЧ. 1837. Т. 22. C. 81-85","","per"
"712","P_1661","A-95","Струйский Д.Ю.","Д. Струйский","Два века","","Слышишь, дед?.. громов раскаты","1838","../../data/corpus1835/periodicals/per_raw//P_1661.txt","ЛПРИ. 1838. №40. C. 785","","per"
"713","P_1662","","Н. Бароков","Н. Бароков","Жажда молитвы","","Вот шумный день уж догорел","1838","../../data/corpus1835/periodicals/per_raw//P_1662.txt","ЛПРИ. 1838. №40. C. 785","","per"
"714","P_1663","A-51","Стромилов С.И.","С. Стромилов","Монумент Петра Великого","Три сонета","Смотри — вот наш державный гений","1838","../../data/corpus1835/periodicals/per_raw//P_1663.txt","ЛПРИ. 1838. №41. C. 810","","per"
"715","P_1664","A-51","Стромилов С.И.","С. Стромилов","Царское село","Три сонета","Взгляни — вот он, чертог Фелицы","1838","../../data/corpus1835/periodicals/per_raw//P_1664.txt","ЛПРИ. 1838. №41. C. 810","","per"
"716","P_1665","A-51","Стромилов С.И.","С. Стромилов","Брюлов","Три сонета","К стенам Скауровой гробницы","1838","../../data/corpus1835/periodicals/per_raw//P_1665.txt","ЛПРИ. 1838. №41. C. 810-811","","per"
"717","P_1666","A-121","Алексеев П.Ф.","П. Алексеев","Песнь духа","","Небо светлое, беспредельное","1838","../../data/corpus1835/periodicals/per_raw//P_1666.txt","ЛПРИ. 1838. №42. C. 829","","per"
"718","P_1667","A-50","Якубович Л.А.","Л. Якубович","А.Д. Илличевскому","При посылке стихотворений","Я посылаю к вам собрание","1838","../../data/corpus1835/periodicals/per_raw//P_1667.txt","ЛПРИ. 1838. №42. C. 829","","per"
"719","P_1668","A-277","Степанов Н.","Н. Степанов","Исповедь","","Нет, я не должен понимать","1838","../../data/corpus1835/periodicals/per_raw//P_1668.txt","ЛПРИ. 1838. №43. C. 847","","per"
"720","P_1669","A-121","Алексеев П.Ф.","П. Алексеев","Отрывок из сказки","","Море стонет, море плещет","1838","../../data/corpus1835/periodicals/per_raw//P_1669.txt","ЛПРИ. 1838. №44. C. 864-865","","per"
"721","P_167","A-15","Тимофеев А.В.","Тимофеев","Возрождение","","Не страшно умереть!.. Ей Богу","1837","../../data/corpus1835/periodicals/per_raw//P_167.txt","БдЧ. 1837. Т. 22. C. 85-89","","per"
"722","P_1670","","Ил-ъ","Ил-ъ","Аккорд","","Трепещут струны, звуки льются","1838","../../data/corpus1835/periodicals/per_raw//P_1670.txt","ЛПРИ. 1838. №44. C. 865","","per"
"723","P_1671","","Кн. А. Волконский","Кн. А. Волконский","Ангелы","В день рождения матери, 3 декабря 1838","В преданьях слышим мы далеких","1838","../../data/corpus1835/periodicals/per_raw//P_1671.txt","ЛПРИ. 1838. №45. C. 885","","per"
"724","P_1672","A-18","Бенедиктов В.Г.","В. Бенедиктов","Черный цвет","","В златые дни весенних лет","1838","../../data/corpus1835/periodicals/per_raw//P_1672.txt","ЛПРИ. 1838. №46. C. 911","","per"
"725","P_1673","A-198","Нормский В.","В. Нормский","К Иде","","В вас чувство вспыхнуло на миг","1838","../../data/corpus1835/periodicals/per_raw//P_1673.txt","ЛПРИ. 1838. №47. C. 923","","per"
"726","P_1674","A-161","Айбулат К.М.","К. Айбулат","Встреча","","Когда бессонную, томительную ночь","1838","../../data/corpus1835/periodicals/per_raw//P_1674.txt","ЛПРИ. 1838. №47. C. 923","","per"
"727","P_1675","A-95","Струйский Д.Ю.","Д. Струйский","Заря","","В тебя, прелестная заря","1838","../../data/corpus1835/periodicals/per_raw//P_1675.txt","ЛПРИ. 1838. №49. C. 968","","per"
"728","P_1676","A-146","Кони Ф.А.","Ф. Кони","Песнь утешения","","К чему ропот и плач","1838","../../data/corpus1835/periodicals/per_raw//P_1676.txt","ЛПРИ. 1838. №49. C. 971-972","","per"
"729","P_1677","A-241","Вуич Н.Е.","Н. Вуич","Художник","","Обломок утеса отбитый грозою","1838","../../data/corpus1835/periodicals/per_raw//P_1677.txt","ЛПРИ. 1838. №50. C. 988","","per"
"730","P_1678","A-161","Айбулат К.М.","К. Айбулат","Моя красавица","","Она моей любви восторженной внимает","1838","../../data/corpus1835/periodicals/per_raw//P_1678.txt","ЛПРИ. 1838. №51. C. 1006","","per"
"731","P_1679","","—н —в","—н —в","К поэту","","Зачем певец, восторгом полный","1838","../../data/corpus1835/periodicals/per_raw//P_1679.txt","ЛПРИ. 1838. №51. C. 1006","","per"
"732","P_168","A-158","Кропоткин Д.А.","Князь Д. Кропоткин","Жаворонок","","Что ты, жавронок, уныло","1837","../../data/corpus1835/periodicals/per_raw//P_168.txt","БдЧ. 1837. Т. 22. C. 96","","per"
"733","P_1680","","А. Севринов","А. Севринов","Прогоны жизни","","В телеге жизни наше тело","1838","../../data/corpus1835/periodicals/per_raw//P_1680.txt","ЛПРИ. 1838. №52. C. 1026-1027","","per"
"734","P_1681","A-7","Кольцов А.В.","А. Кольцов","Мир музыки","","В стройных звуках льются песни","1839","../../data/corpus1835/periodicals/per_raw//P_1681.txt","ЛПРИ. 1839. Т. 1. №1. C. 6","","per"
"735","P_1682","A-101","Шахова Е.Н.","Е. Шахова","Карие глаза","А-е Л-е Б-ъ","Я люблю, когда слеза","1839","../../data/corpus1835/periodicals/per_raw//P_1682.txt","ЛПРИ. 1839. Т. 1. №1. C. 6","","per"
"736","P_1683","A-18","Бенедиктов В.Г.","В. Бенедиктов","Е.И. Ш—ой","","Тонет в сумраке тумана","1839","../../data/corpus1835/periodicals/per_raw//P_1683.txt","ЛПРИ. 1839. Т. 1. №2. C. 33-34","","per"
"737","P_1684","A-191","Афанасьев-Чужбинский А.С.","А.Ч.","Друзьям","","Пролью пред Господом я слезы покаянья","1839","../../data/corpus1835/periodicals/per_raw//P_1684.txt","ЛПРИ. 1839. Т. 1. №3. C. 54","","per"
"738","P_1685","A-50","Якубович Л.А.","Л. Якубович","Троицын-день","Украинская мелодия","Девицы, красавицы, слушайте меня","1839","../../data/corpus1835/periodicals/per_raw//P_1685.txt","ЛПРИ. 1839. Т. 1. №4. C. 73","","per"
"739","P_1686","","Карельский","Карельский","К —е —е —ах","","Бледна, бесчувственна, печальна","1839","../../data/corpus1835/periodicals/per_raw//P_1686.txt","ЛПРИ. 1839. Т. 1. №4. C. 73-74","","per"
"740","P_1687","A-252","Степанов С.","С. Степанов","Агнета","Баллада Эленшлегера","У моря, где стелется тихо волна","1839","../../data/corpus1835/periodicals/per_raw//P_1687.txt","ЛПРИ. 1839. Т. 1. №5. C. 101-102","","per"
"741","P_1688","A-161","Айбулат К.М.","К. Айбулат","Романс","","Ma bien-aimée, ma delicieuse","1839","../../data/corpus1835/periodicals/per_raw//P_1688.txt","ЛПРИ. 1839. Т. 1. №6. C. 120","","per"
"742","P_1689","","И. Ил-ъ","И. Ил-ъ","К ***","","Как перл зари брильянтом блещет","1839","../../data/corpus1835/periodicals/per_raw//P_1689.txt","ЛПРИ. 1839. Т. 1. №7. C. 146","","per"
"743","P_169","A-15","Тимофеев А.В.","Тимофеев","Вечер на даче","","Бьет восемь. Пестрою грядою","1837","../../data/corpus1835/periodicals/per_raw//P_169.txt","БдЧ. 1837. Т. 23. C. 5-10","","per"
"744","P_1690","A-250","Корсаков П.А.","П. Корсаков","Мышеловка","","Однажды милую застал я в сладком сне","1839","../../data/corpus1835/periodicals/per_raw//P_1690.txt","ЛПРИ. 1839. Т. 1. №8. C. 165","","per"
"745","P_1691","A-161","Айбулат К.М.","К. Айбулат","Очаровательнице","","Не кружись, моя Цыганка","1839","../../data/corpus1835/periodicals/per_raw//P_1691.txt","ЛПРИ. 1839. Т. 1. №8. C. 165","","per"
"746","P_1692","A-191","Афанасьев-Чужбинский А.С.","А. Чужбинский","Трубач","Посвящается его превосходительству, Александру Ивановичу Лизогубу","Облегчивши коня, меж гусар, у огня","1839","../../data/corpus1835/periodicals/per_raw//P_1692.txt","ЛПРИ. 1839. Т. 1. №9. C. 192-193","","per"
"747","P_1693","A-78","Теплова Н.С.","Н. Теплова","Предостережение","","Тебе ль стремиться за мечтою","1839","../../data/corpus1835/periodicals/per_raw//P_1693.txt","ЛПРИ. 1839. Т. 1. №10. C. 212","","per"
"748","P_1694","A-51","Стромилов С.И.","С. Стромилов","Бомбардир","Отрывок","У меня был малой бравый","1839","../../data/corpus1835/periodicals/per_raw//P_1694.txt","ЛПРИ. 1839. Т. 1. №11. C. 229-230","","per"
"749","P_1695","A-115","Некрасов Н.А.","Н. Некрасов","Моя судьба","","Мне плакать хочется, а плакать в мире стыдно","1839","../../data/corpus1835/periodicals/per_raw//P_1695.txt","ЛПРИ. 1839. Т. 1. №12. C. 250","","per"
"750","P_1696","A-51","Стромилов С.И.","С. Стромилов","Недоумение","","Нина, кубок, да булат","1839","../../data/corpus1835/periodicals/per_raw//P_1696.txt","ЛПРИ. 1839. Т. 1. №13. C. 270-271","","per"
"751","P_1697","","Д***","Д***","Тройка","","Тройка мчится, тройка скачет","1839","../../data/corpus1835/periodicals/per_raw//P_1697.txt","ЛПРИ. 1839. Т. 1. №13. C. 271","","per"
